Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,1.0407077866148e-08,2.82874168533453e-09,1.91883202660392e-08,1.03517316026281e-08,3.56561834131684e-09,0       
 [2] CEC2017 N=2 D=10,0,0,0,0,0,8                                                                                                     
 [3] CEC2017 N=3 D=10,1.13686837721616e-13,5.6843418860808e-14,1.70530256582424e-13,9.5853608275088e-14,3.68215434943454e-14,4        
 [4] CEC2017 N=4 D=10,0,0,6.5750214162108e-09,5.03687305371939e-10,1.40130726780955e-09,3.11764705882353                              
 [5] CEC2017 N=5 D=10,1.98991813548759,4.30964064435102e-09,4.97479529314859,2.30206213718519,1.0241835393811,3                       
 [6] CEC2017 N=6 D=10,1.42831368066254e-07,8.12889311418985e-08,1.09129209853904,0.0500774000125273,0.206525939958406,1.72549019607843
 [7] CEC2017 N=7 D=10,12.6903790396233,11.2491837118017,15.3506921060425,12.6662416210442,0.896050438158408,2                         
 [8] CEC2017 N=8 D=10,2.98487717131388,5.11590769747272e-12,4.97479529136774,2.51666114931441,1.18317226457962,3                      
 [9] CEC2017 N=9 D=10,2.04636307898909e-12,0,4.18367562815547e-11,5.10476192906864e-12,8.16145621779229e-12,4.74509803921569          
[10] CEC2017 N=10 D=10,6.95483025746307,0.124908886678895,133.947844833511,29.0992699007195,46.6198661389693,2.98039215686275         
[11] CEC2017 N=11 D=10,0.994959057093411,0,2.98487718302272,0.761097773105214,0.733610492922696,2.94117647058824                      
[12] CEC2017 N=12 D=10,425.71800346337,118.646477601731,915.76030024164,434.016476246875,223.783714613033,0                           
[13] CEC2017 N=13 D=10,5.96974930740862,1.92358129424974e-09,21.6638470844648,5.80245903388027,4.61066673825796,1.72549019607843      
[14] CEC2017 N=14 D=10,20.9949579222798,5.54573489353061e-08,36.9332509640651,15.6039989323616,10.1820062000312,0.0196078431372549    
[15] CEC2017 N=15 D=10,2.9909436536152,6.1888538311905e-05,49.2132736908643,5.86899461810973,8.7471219070361,0.0588235294117647       
[16] CEC2017 N=16 D=10,1.59767855021028,0.448297728813259,240.843164486675,13.1656281304823,43.2154783399892,0.294117647058824        
[17] CEC2017 N=17 D=10,22.706450716973,1.17723379435256,86.3948317484048,25.0403474392669,17.8341907238167,0                          
[18] CEC2017 N=18 D=10,24.520899873879,1.49951654505139,52.9294620772246,27.7703110310891,10.0285306964876,0                          
[19] CEC2017 N=19 D=10,2.49474168271558,0.0194331442476141,16.8783833776297,2.84245115073222,2.45615413808373,0                       
[20] CEC2017 N=20 D=10,21.0351018493652,0.624354646121901,145.681019137142,22.6108296321698,30.1152468881364,0                        
[21] CEC2017 N=21 D=10,203.471944122038,100.000000103996,205.469380110684,195.079366454243,28.1168523242962,3.01960784313725          
[22] CEC2017 N=22 D=10,100.000000027277,100.000000014257,100.000000124073,100.000000031897,2.01815987008081e-08,3                     
[23] CEC2017 N=23 D=10,302.881632301296,300.000000022677,314.286128136082,303.30069604482,2.90317840982595,3                          
[24] CEC2017 N=24 D=10,100.000000188898,100.000000108303,328.011009481969,121.646455737978,66.3932861720713,1.45098039215686          
[25] CEC2017 N=25 D=10,397.745670875791,397.742869469987,443.373839045281,404.145552226025,15.7992919920945,4                         
[26] CEC2017 N=26 D=10,300.000000163414,200.000001331855,300.000000208685,282.352941595179,38.5013363345874,0                         
[27] CEC2017 N=27 D=10,395.303139571411,392.596222205868,402.306775373307,396.167352439551,2.72700002377682,1.45098039215686          
[28] CEC2017 N=28 D=10,583.745226301414,300.000000213546,646.48034133874,481.125337061756,136.343063034806,0                          
[29] CEC2017 N=29 D=10,237.964670047242,226.822583318396,293.181496148001,242.675120750112,13.1046845882268,0                         
[30] CEC2017 N=30 D=10,464.139109332192,394.500777767111,817578.142017041,32504.4457279509,160187.079894457,0                         
 [1] CEC2017 N=1 D=30,5.29964268025651e-08,3.70578163710888e-08,6.49848885814208e-08,5.23604194424978e-08,6.69120613926842e-09,0               
 [2] CEC2017 N=2 D=30,0,0,3,0.470588235294118,0.8568066567545,2                                                                                
 [3] CEC2017 N=3 D=30,5.57065504835919e-12,2.50111042987555e-12,8.98126018000767e-12,5.60409235357143e-12,1.37651131448972e-12,1               
 [4] CEC2017 N=4 D=30,58.561557586575,7.77328068579664e-09,67.8974199268593,54.7528826059534,15.0229020675894,0.0392156862745098               
 [5] CEC2017 N=5 D=30,6.96471341111368,1.98991889444733,12.9344677551842,6.78913584808037,2.45095925765485,1                                   
 [6] CEC2017 N=6 D=30,3.43749547937477e-07,2.95842141895264e-07,0.369405272943823,0.0287490092119122,0.0756920616684865,0.784313725490196      
