Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,0,0,0,0,0,0                                                                                
 [2] CEC2017 N=2 D=10,0,0,1,0.0196078431372549,0.140028008402801,0                                               
 [3] CEC2017 N=3 D=10,0,0,0,0,0,0                                                                                
 [4] CEC2017 N=4 D=10,0,0,0,0,0,0                                                                                
 [5] CEC2017 N=5 D=10,2.98487717127989,0.994959057093297,8.95462647602056,3.39456599722736,1.54364842418747,0    
 [6] CEC2017 N=6 D=10,0,0,1.13340256575611e-05,3.33791129324869e-07,1.60842403394849e-06,0                       
 [7] CEC2017 N=7 D=10,12.9209376483141,10.672369844849,20.8181349305763,13.4045067528635,1.79715010127763,0      
 [8] CEC2017 N=8 D=10,2.98487717127989,0.994959057093297,6.96471339965308,3.57014700730265,1.67881698864897,0    
 [9] CEC2017 N=9 D=10,0,0,0,0,0,0                                                                                
[10] CEC2017 N=10 D=10,3.78968733392412,0.124908882076852,321.350407250717,39.8618087436247,72.971847858766,0    
[11] CEC2017 N=11 D=10,0.994959057093183,0,7.95966238110827,1.0729947652289,1.33254777546656,0                   
[12] CEC2017 N=12 D=10,350.973932349199,0.208142984645519,868.59428846997,392.925314587059,235.027731097225,0    
[13] CEC2017 N=13 D=10,6.14111242310651,0,31.5126259216804,6.19395788940498,4.71553568310068,0                   
[14] CEC2017 N=14 D=10,1.98991811418659,0,25.8686819916356,7.46302214016247,9.27828190002896,0                   
[15] CEC2017 N=15 D=10,1.01628002692314,8.19764341031259e-06,14.4076084088133,1.93202472085528,3.08564068553788,0
[16] CEC2017 N=16 D=10,1.63656081147792,0.0587862625347952,136.357070988157,13.3733953176493,36.7981470282755,0  
[17] CEC2017 N=17 D=10,22.4778702339918,2.30209137016823,36.3441929924816,20.4969598081757,8.2841311267465,0     
[18] CEC2017 N=18 D=10,21.5157315493891,0.05629752002028,101.119305514539,21.2061759094432,14.5003717431569,0    
[19] CEC2017 N=19 D=10,1.1350782906427,0.0194318197550274,4.12167542972202,1.58416627207648,1.03989427568671,0   
[20] CEC2017 N=20 D=10,20.0462515430463,3.94038579543121e-10,140.765121873821,16.6433762063604,27.0757918691028,0
[21] CEC2017 N=21 D=10,204.136611378101,172.060532035499,210.804871882469,203.927433760472,5.04835329878347,0    
[22] CEC2017 N=22 D=10,100,100,100.346111654884,100.006786503037,0.048465325718372,0                             
[23] CEC2017 N=23 D=10,304.134885126752,300,323.847297730284,304.681656041659,3.89966455979723,0                 
[24] CEC2017 N=24 D=10,328.588539552555,100,335.455343966444,319.513645803159,35.9406987065661,0                 
[25] CEC2017 N=25 D=10,443.365113196086,397.742869469987,445.812898532382,430.090075212618,21.0011588984388,0    
[26] CEC2017 N=26 D=10,300,200,1206.30431996238,311.888319999262,129.936875490357,0                              
[27] CEC2017 N=27 D=10,395.074556544973,393.434865888252,401.404355485613,395.401465233751,1.62188316457379,0    
[28] CEC2017 N=28 D=10,583.745226265944,300,645.050138265477,516.113574944499,135.385649773644,0                 
[29] CEC2017 N=29 D=10,234.173719345524,227.14165759842,259.784519274683,235.576806306123,6.66748224864646,0     
[30] CEC2017 N=30 D=10,442.742868188665,394.500772414379,817581.969057311,80564.1226808655,245404.405078211,0    
 [1] CEC2017 N=1 D=30,0,0,0,0,0,0                                                                                         
 [2] CEC2017 N=2 D=30,0,0,3,0.372549019607843,0.747282659071532,0                                                         
 [3] CEC2017 N=3 D=30,0,0,0,0,0,0                                                                                         
 [4] CEC2017 N=4 D=30,58.5615573023855,19.1573930654009,64.1173950133555,58.4427991233103,5.89435837389228,0              
 [5] CEC2017 N=5 D=30,5.96975434255972,2.98487717127989,13.929426799306,6.61355137950246,2.24978288126782,0               
 [6] CEC2017 N=6 D=30,7.95807864051312e-12,4.20641299569979e-12,0.0807713355602573,0.00158375578320704,0.011310248668165,0
 [7] CEC2017 N=7 D=30,36.7705103181808,32.7923578495487,40.3423544284371,36.75694021661,1.53395424172528,0                
 [8] CEC2017 N=8 D=30,5.96975434255978,1.98991811418659,11.9395086851194,6.39895216962672,2.43108143118417,0              
 [9] CEC2017 N=9 D=30,0,0,0,0,0,0                                                                                         
[10] CEC2017 N=10 D=30,135.438594572901,0.353927196743825,734.088668320859,189.634812606555,161.279098609823,0            
